Frame Number, X, Y
437,586,333
437,511,283
437,472,209
437,471,122
437,518,46
438,586,333
438,512,279
438,477,203
438,484,116
438,540,43
439,586,333
439,512,278
439,479,201
439,488,114
439,546,43
440,586,332
440,513,275
440,483,195
440,499,109
440,563,43
441,585,331
441,514,272
441,489,190
441,511,104
441,582,44
442,585,331
442,515,269
442,493,187
442,519,102
442,594,46
443,584,331
443,516,267
443,498,182
443,530,99
443,608,49
444,585,330
444,518,264
444,503,179
444,539,97
444,622,53
445,584,330
445,518,262
445,507,176
445,547,95
445,632,56
446,584,329
446,519,261
446,509,174
446,552,95
446,637,59
447,584,329
447,520,258
447,514,171
447,560,94
448,583,329
448,521,257
448,518,169
448,568,93
449,584,328
449,522,255
449,522,166
449,575,93
450,584,328
450,523,254
450,524,165
450,579,93
451,583,328
451,524,252
451,528,164
451,585,93
452,583,327
452,525,250
452,532,162
452,592,94
453,583,327
453,525,250
453,533,161
453,595,94
454,583,327
454,526,248
454,537,160
454,601,95
455,583,327
455,527,248
455,539,159
455,603,95
456,583,326
456,528,246
456,541,158
456,609,96
457,583,326
457,528,246
457,543,157
457,612,96
458,583,326
458,529,244
458,547,156
458,617,97
459,583,326
459,530,243
459,549,155
459,624,98
460,583,326
460,531,243
460,551,155
460,626,99
461,583,325
461,531,241
461,554,154
461,629,100
462,583,325
462,532,241
462,555,153
462,631,100
463,583,325
463,533,240
463,558,153
463,634,102
464,582,325
464,533,240
464,559,152
464,636,103
465,583,325
465,534,239
465,561,152
465,637,104
466,582,325
466,535,238
466,563,152
466,637,105
467,582,324
467,536,237
467,566,151
467,637,107
468,582,324
468,536,236
468,567,150
469,582,324
469,537,236
469,569,151
470,582,324
470,537,236
470,570,150
471,582,324
471,537,235
471,571,150
472,582,324
472,538,234
472,573,150
473,582,323
473,539,234
473,574,150
474,582,323
474,538,233
474,576,150
475,582,323
475,540,233
475,577,149
476,582,323
476,540,232
476,579,149
477,582,323
477,540,232
477,580,149
478,582,323
478,541,232
478,581,149
479,582,323
479,541,231
479,582,149
480,582,323
480,542,231
480,584,149
481,582,323
481,542,231
481,584,149
482,582,323
482,542,230
482,585,148
483,582,322
483,543,230
483,587,148
484,582,322
484,543,229
484,588,149
485,582,323
485,543,230
485,588,149
486,582,324
486,539,233
486,579,150
487,583,326
487,530,244
487,550,156
487,623,100
488,583,327
488,528,247
488,543,158
488,612,97
489,583,328
489,525,251
489,534,162
489,597,95
490,585,331
490,517,265
490,506,178
491,585,332
491,514,272
491,493,188
491,521,103
492,587,334
492,512,284
492,475,207
492,482,119
493,588,336
493,511,290
493,467,219
493,462,132
494,589,338
494,510,305
494,452,246
494,422,167
495,590,338
495,510,310
495,448,259
495,409,185
496,591,340
496,512,319
496,443,278
496,391,216
497,593,340
497,514,328
497,441,301
497,378,252
498,321,208
498,374,268
498,441,309
498,515,332
498,593,340
499,308,249
499,372,294
499,443,323
499,518,338
499,595,341
500,305,270
500,371,308
500,444,332
500,519,341
500,596,341
501,302,311
501,374,334
501,448,346
501,523,347
501,597,343
502,305,340
502,377,351
502,451,355
502,525,350
502,598,343
